cycle,local_min,local_max,total_time,cooling_time,heating_time
1,-0.05887,0.07505,1.3,0.1,1.1
2,0.07159,132.97716,180.89998,96.59998,84.2
3,5.30435,5.31258,5.0,4.8,0.09998
4,4.5683,4.57476,6.5,6.29998,0.10002
5,3.68907,3.69085,5.69998,5.5,0.1
6,3.0012,3.02127,8.5,8.3,0.09998
7,2.2119,2.28742,0.60002,0.10002,0.40002
8,2.27972,2.30713,0.9,0.4,0.4
9,2.29429,2.2981,0.4,0.2,0.09998
10,2.26676,2.26841,1.29998,0.89998,0.29998
11,2.22871,2.23445,1.5,1.10002,0.3
12,2.15323,2.16246,1.5,1.3,0.09998
13,2.06169,2.08755,1.10002,0.90002,0.10002
14,2.00602,2.01621,2.90002,2.60002,0.20002
15,1.86519,1.86576,3.0,2.7,0.20002
16,1.69907,1.71064,0.6,0.40002,0.1
17,1.65753,1.69213,0.30002,0.10002,0.10002
18,1.6438,1.64642,0.7,0.2,0.4
19,1.58689,1.61101,0.8,0.39998,0.3
20,1.54448,1.55208,1.2,1.0,0.09998
21,1.47428,1.47544,1.59998,1.3,0.2
22,1.37709,1.38741,0.59998,0.39998,0.09998
23,1.32508,1.34348,1.8,1.60002,0.1
24,1.25409,1.25622,1.40002,0.90002,0.40002
25,1.16889,1.17098,2.60002,2.2,0.3
26,1.03899,1.05066,0.4,0.2,0.09998
27,1.00633,1.02079,3.29998,3.09998,0.09998
28,0.84843,0.86009,1.6,1.3,0.19998
29,0.74717,0.77714,1.10002,0.90002,0.10002
30,0.71252,0.72333,1.3,0.89998,0.3
31,0.64599,0.64681,4.3,3.90002,0.3
32,0.47231,0.48745,2.0,1.5,0.40002
33,0.37891,0.37927,3.2,2.7,0.39998
34,0.24489,0.27644,1.0,0.8,0.09998
35,0.21288,0.21343,1.5,1.0,0.4
36,0.14457,0.14513,2.30002,2.0,0.20002
37,0.03473,0.06828,0.3,0.10002,0.09998
38,0.03912,0.19461,1.6,0.1,1.4
39,0.074,0.23868,1.60003,0.60003,0.90003
40,0.23057,0.26527,1.0,0.4,0.5
41,0.26283,132.8965,170.69997,114.89997,55.69997
42,8.11053,8.11191,7.2,7.0,0.1
43,7.11029,7.11227,2.80003,2.6,0.1
44,6.81584,6.8232,2.09997,1.9,0.09997
45,6.71721,6.73104,1.9,1.69997,0.10003
46,6.55202,6.5541,2.30003,2.0,0.20003
47,6.39167,6.3979,0.6,0.39997,0.1
