cycle,local_min,local_max,total_time,cooling_time,heating_time
1,0.51372,132.54321,242.29998,161.29998,80.9
2,0.50146,132.57836,334.6,262.80003,71.7
3,0.50416,131.58451,289.2,235.8,53.29994
4,1.50691,131.54046,344.39994,249.29988,95.0
5,0.50848,133.5142,322.99988,250.69988,72.2
6,0.50238,132.6618,323.2,251.2,71.89988
7,0.52059,132.69964,313.00012,252.90012,60.0
8,0.5009,132.63109,311.3,260.8,50.4
9,0.52352,131.53477,274.0,224.0,49.9
10,0.50309,131.55767,291.3,222.3,68.9
11,0.52487,131.57019,292.60025,222.80025,69.70025
12,0.53089,132.52823,297.59975,226.0,71.5
13,0.50404,131.56165,280.0,208.5,71.39975
14,1.51977,131.67785,308.20025,217.8,90.3
15,0.52461,131.58631,293.5995,220.5995,72.9
16,0.50027,131.61126,296.7,223.5,73.1
17,0.50253,130.64782,295.4,221.2,74.0995
18,0.5016,131.55186,300.8,225.4,75.3
19,0.50355,131.64112,301.1,223.8,77.1995
20,0.50285,130.7148,278.5,201.5995,76.8005
21,1.50497,131.60804,339.3995,247.3995,91.8995
22,0.50203,130.68189,232.3995,173.0,59.2995
23,4.50012,130.50085,364.5,230.7005,133.7
24,0.51336,131.53273,310.5,226.9,83.5
25,0.52311,130.55855,316.3,231.5,84.6995
26,0.50607,131.51486,328.0,241.3005,86.6
27,0.52793,131.57064,311.7,220.7,90.9
28,0.50275,131.50829,300.599,210.699,89.7995
29,1.51489,131.51,334.899,228.699,106.1
30,0.50042,131.50921,326.5,228.2,98.2
31,0.51261,130.71489,323.2,222.0,101.1
32,1.53942,130.54335,359.301,240.801,118.401
33,0.51392,130.5877,342.8,232.0,110.7
34,1.5089,131.5352,400.6,272.3,128.199
35,-0.49218,130.50038,361.301,255.5,105.701
36,0.51553,130.51911,398.3,271.3,126.9
37,0.51303,130.56107,422.199,287.5,134.6
38,0.5018,130.53618,441.0,297.101,143.8
39,0.5113,130.53745,459.9,309.101,150.7
40,0.51186,129.57251,466.4,305.7,160.599
41,0.51316,130.57625,486.099,318.0,168.0
42,0.50586,130.56697,510.2,335.5,174.599
43,0.51402,130.55333,477.2,320.2,156.9
44,1.50876,130.53639,521.201,321.201,199.901
45,1.50364,130.5965,540.301,333.5,206.7
46,0.5051,130.5785,562.2,358.8,203.299
47,0.50993,129.5121,531.501,347.5,183.9
